종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
329660,KODEX TRF5050,2019.7.4,혼합자산-주식+채권,삼성자산운용,20.01,FnGuide TRF 5050 지수,1.17,36362421084,0.16,매우낮음,실물(패시브),0.17,배당소득세(보유기간과세)
329670,KODEX TRF7030,2019.7.4,혼합자산-주식+채권,삼성자산운용,25.23,FnGuide TRF 7030 지수,2.66,40179730284,0.15,매우낮음,실물(패시브),0.1,배당소득세(보유기간과세)
276990,KODEX 글로벌로봇(합성),2017.8.17,주식-업종섹터-업종테마,삼성자산운용,5.89,ROBO Global Robotics & Automation UCITS Price Return Index,0.67,28931336207,0.15,낮음,합성(패시브),0.26,배당소득세(보유기간과세)
475080,KODEX 테슬라인컴프리미엄채권혼합액티브,2024.1.23,혼합자산-주식+채권,삼성자산운용,0,KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR),4.21,1.68708E+11,0.27,낮음,실물(액티브),0.39,배당소득세(보유기간과세)
298770,KODEX 한국대만IT프리미어,2018.6.11,주식-업종섹터-정보기술,삼성자산운용,36.87,한국 대만 IT 프리미어지수,2.03,49054090944,-1.99,보통,실물(패시브),0.55,배당소득세(보유기간과세)
450190,KODEX 한중반도체(합성),2022.12.22,주식-업종섹터-업종테마,삼성자산운용,21,KRX CSI 한·중 반도체지수,0.08,8581988501,-1.11,높음,합성(패시브),0.25,배당소득세(보유기간과세)
450180,KODEX 한중전기차(합성),2022.12.22,주식-업종섹터-업종테마,삼성자산운용,-25.87,KRX CSI 한·중 전기차지수,0.1,5791770727,-0.41,높음,합성(패시브),0.25,배당소득세(보유기간과세)
473490,KOSEF 글로벌AI반도체,2023.12.21,주식-업종섹터-업종테마,키움투자자산운용,0,Solactive Global AI Semiconductor Index (Price Return),0.51,40597106771,1.34,매우높음,실물(패시브),0.4,배당소득세(보유기간과세)
394340,KOSEF 글로벌디지털경제,2021.7.20,주식-업종섹터-업종테마,키움투자자산운용,25.18,MSCI ACWI IMI 디지털 이코노미&메타버스 ESG 지수(시장가격),5.29,5507858362,-3.18,보통,실물(패시브),0.31,배당소득세(보유기간과세)
473500,KOSEF 글로벌전력반도체,2023.12.21,주식-업종섹터-업종테마,키움투자자산운용,0,Solactive Global Power Semiconductor Index (Price Return),1.2,6289985987,-1.46,매우높음,실물(패시브),0.4,배당소득세(보유기간과세)
394350,KOSEF 글로벌퓨처모빌리티,2021.7.20,주식-업종섹터-업종테마,키움투자자산운용,0.42,MSCI ACWI IMI 퓨처모빌리티 ESG 지수(시장가격),6.04,30502532110,-0.81,높음,실물(패시브),0.31,배당소득세(보유기간과세)
471040,KoAct 글로벌AI&로봇액티브,2023.11.21,주식-업종섹터-업종테마,삼성액티브자산운용,0,iSelect 글로벌AI&로봇PR지수,13.49,30596112259,0.31,높음,실물(액티브),0.5,배당소득세(보유기간과세)
475070,KoAct 글로벌기후테크인프라액티브,2024.1.18,주식-업종섹터-업종테마,삼성액티브자산운용,0,Solactive 글로벌기후테크인프라 PR 지수,10.2,30672564276,-0.2,매우높음,실물(액티브),0.5,배당소득세(보유기간과세)
442550,RISE TDF2030액티브,2022.9.22,기타,케이비자산운용,16.86,iSelect 전략적자산배분 TDF 2030 지수,1.16,6094800747,-0.2,매우낮음,실물(액티브),0.18,배당소득세(보유기간과세)
442560,RISE TDF2040액티브,2022.9.22,기타,케이비자산운용,19.66,iSelect 전략적자산배분 TDF 2040 지수,1.2,6278230363,-0.13,매우낮음,실물(액티브),0.18,배당소득세(보유기간과세)
442570,RISE TDF2050액티브,2022.9.22,기타,케이비자산운용,21.25,iSelect 전략적자산배분 TDF 2050 지수,1.27,14664192142,0.03,매우낮음,실물(액티브),0.18,배당소득세(보유기간과세)
276650,RISE 글로벌4차산업IT(합성 H),2017.8.17,주식-업종섹터-업종테마,케이비자산운용,32.29,S&P Global 1200 Information Technology and Interactive Media & Services(PR),0.73,22949876118,-1.13,보통,합성(패시브),0.4,배당소득세(보유기간과세)
447620,SOL 미국TOP5채권혼합40 Solactive,2022.11.29,혼합자산-주식+채권,신한자산운용,13.21,Solactive US TOP5 Balanced40 Index,0.7,46011839634,-0.09,매우낮음,실물(패시브),0.25,배당소득세(보유기간과세)
423170,SOL 한국형글로벌반도체액티브,2022.4.12,주식-업종섹터-업종테마,신한자산운용,60.1,S&P Global Semiconductor Korea Tilted Index(PR),9.19,60466630208,0.59,높음,실물(액티브),0.55,배당소득세(보유기간과세)
429980,SOL 한국형글로벌전기차&2차전지액티브,2022.6.14,주식-업종섹터-업종테마,신한자산운용,1.88,FactSet Global Electric Vehicle and Rechargeable Battery Korea-Tilted Index(PR),4.32,6200446884,-0.67,보통,실물(액티브),0.55,배당소득세(보유기간과세)
429990,SOL 한국형글로벌플랫폼&메타버스액티브,2022.6.14,주식-업종섹터-업종테마,신한자산운용,23.7,Dow Jones Internet Korea Tilted Index(PR),10.58,6692481040,-0.19,보통,실물(액티브),0.55,배당소득세(보유기간과세)
435420,TIGER 미국나스닥100TR채권혼합Fn,2022.7.6,혼합자산-주식+채권,미래에셋자산운용,12.27,FnGuide 나스닥100 채권혼합 지수(총수익 지수),0.4,1.07369E+11,0.22,매우낮음,실물(패시브),0.25,배당소득세(보유기간과세)
472170,TIGER 미국테크TOP10채권혼합,2023.12.5,혼합자산-주식+채권,미래에셋자산운용,0,FnGuide 미국테크TOP10 채권혼합지수,0.21,1.00699E+11,0.27,낮음,실물(패시브),0.25,배당소득세(보유기간과세)
447770,TIGER 테슬라채권혼합Fn,2022.11.29,혼합자산-주식+채권,미래에셋자산운용,1.84,FnGuide 테슬라채권혼합 지수,1,1.51527E+11,0.35,보통,실물(패시브),0.25,배당소득세(보유기간과세)
449690,TIGER 한중반도체(합성),2022.12.22,주식-업종섹터-업종테마,미래에셋자산운용,19.13,KRX CSI 한·중 반도체지수,0.17,12016397396,-1.11,보통,합성(패시브),0.35,배당소득세(보유기간과세)
449680,TIGER 한중전기차(합성),2022.12.22,주식-업종섹터-업종테마,미래에셋자산운용,-26.3,KRX CSI 한·중 전기차지수,0.22,7660629771,-0.42,높음,합성(패시브),0.35,배당소득세(보유기간과세)
435530,히어로즈 TDF2030액티브,2022.6.30,혼합자산-주식+채권,키움투자자산운용,20.36,Dow Jones Target 2030 Index (Total Return),3.86,6335930898,-0.17,매우낮음,실물(액티브),0.3,배당소득세(보유기간과세)
435540,히어로즈 TDF2040액티브,2022.6.30,혼합자산-주식+채권,키움투자자산운용,25.61,Dow Jones Target 2040 Index (Total Return),3.75,6744648065,-0.18,매우낮음,실물(액티브),0.34,배당소득세(보유기간과세)
435550,히어로즈 TDF2050액티브,2022.6.30,혼합자산-주식+채권,키움투자자산운용,27.57,Dow Jones Target 2050 Index (Total Return),3.54,7509768621,0.3,매우낮음,실물(액티브),0.38,배당소득세(보유기간과세)
